Titulo,Genero,Online,Local,Combo,info1,info2,info3,info4
Brawlhalla,Fighting,4,4,Not available,,,,
BROFORCE,Platform Shooter,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Brunch Club,Arcade,Not available,4,Not available,Supports Split-Screen,,,
Bubble Bobble 4 Friends: The Baron is Back!,Platformer game,Not available,4,Not available,,,,
Bulletstorm: Full Clip Edition,Action Games,4,Not available,Not available,,,,
Bunny Factory,Puzzle Game,4,Not available,Not available,,,,
Bunny Parking,Puzzle Game,4,Not available,Not available,,,,
Burnout Paradise Remastered,Racing game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Bus Simulator 21,Simulation game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Bus Simulator,Simulation game,4,Not available,Not available,,,,
Call of Duty: Advanced Warfare,FPS,4,2,4,Supports Split-Screen,Supports LAN or System-Link Play,,
Call of Duty: Black Ops 3,FPS,4,4,4,Supports Split-Screen,Supports LAN or System-Link Play,Supports Drop-In/Drop-Out Co-Op,
Call of Duty: Black Ops 4,FPS,4,4,Not available,Supports Split-Screen,,,
Call of Duty: Black Ops Cold War,First Person Shooter,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Call of Duty: Black Ops Cold War,FPS,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Call of Duty: Ghosts,FPS,6,2,Not available,6 Players in Co-Op,Supports LAN or System-Link Play,,
Call of Duty: Infinite Warfare,FPS,4,2,4,Supports Split-Screen,Supports LAN or System-Link Play,Supports Drop-In/Drop-Out Co-Op,
Call of Duty: Modern Warfare III,First Person Shooter,12,Not available,Not available,12 Players in Co-Op,,
Call of Duty: Modern Warfare III,FPS,12,Not available,Not available,12 Players in Co-Op,,,
Call of Duty: Modern Warfare,FPS,4,Not available,Not available,,,,
Call of Duty: Vanguard,First Person Shooter,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Call of Duty: Vanguard,FPS,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Call of Duty: WWII,FPS,4,2,4,Supports LAN or System-Link Play,,,
Cannibal Cuisine,Arcade,4,4,Not available,,,
Cannibal Cuisine,Arcade,4,4,Not available,,,,
Capcom Arcade Stadium Pack 2: Arcade Revolution(`89 - `92),Collections,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Capcom Arcade Stadium Pack 3: Arcade Evolution (’92 – ’01),Collections,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Capcom Arcade Stadium,Collections,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Capcom Beat 'Em Up Bundle,Beat-Em-Up,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Cartoon Network: Battle Crashers,Beat-Em-Up,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Castle Crashers Remastered,Beat-Em-Up,4,4,4,,,,
Catastronauts,Action Games,Not available,4,Not available,,,,
Cave Digger 2: Dig Harder,Action/Adventure game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Cave Digger 2: Dig Harder,Action/Adventure,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Caveman Warriors,Side Scroller game,Not available,4,Not available,,,,
Circuit Breakers,Twin Stick Shooter game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Civilization VI,Turn Based Strategy game,4,4,Not available,,,,
Cladun Returns: This Is Sengoku!,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Clan N,Beat-Em-Up,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Claws of Furry,Beat-Em-Up,Not available,4,Not available,,,,
Clone Drone in the Danger Zone,Action Games,5,Not available,Not available,5 Players in Co-Op,,,
Clouds & Sheep 2,Simulation game,Not available,4,Not available,,,,
Conan Chop Chop,Action/Adventure game,4,4,Not available,,,,
Conan Exiles,Survival game,10,Not available,Not available,10 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
ConnecTank,Action Games,Not available,4,Not available,,,,
Construction Simulator,Simulation game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Construction Simulator,Simulation,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Contra: Operation Galuga,Side Scroller game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Contra: Operation Galuga,Side Scroller,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
CONTRA: ROGUE CORPS,Twin Stick Shooter game,4,4,Not available,,,,
Cook Serve Delicious!,Simulation game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Cook,Serve,Delicious!,Simulation,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op
Crime Boss: Rockay City,First Person Shooter,4,Not available,Not available,,,
Crime Fighters,Beat-Em-Up,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Crimsonland,Twin Stick Shooter game,Not available,4,Not available,,,,
Crimsonland,Twin Stick Shooter,Not available,4,Not available,,,
CROSSFIRE: SIERRA SQUAD,Tactical FPS,4,Not available,Not available,,,
Curious Cases,Puzzle Game,6,Not available,Not available,6 Players in Co-Op,,,
Curse of the Sea Rats,Platformer game,Not available,4,Not available,,,,
