Titulo,Genero,Online,Local,Combo,info1,info2,info3,info4
The Escapists 2,Simulation game,4,4,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
The First Descendant,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
The Forest,Survival game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
The Incredible Adventures of Van Helsing II,Action RPG,4,Not available,Not available,,,,
The Incredible Adventures of Van Helsing III,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
The Incredible Adventures of Van Helsing,Action RPG,4,Not available,Not available,,,,
The Last Kids on Earth and the Staff of Doom,Action RPG,Not available,4,Not available,,,,
The Lord of the Rings: Return to Moria,Survival,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
The Playroom VR,Minigames,Not available,5,Not available,5 Players in Co-Op,,,
The Quarry,Adventure,8,8,Not available,8 Players in Co-Op,,
The Quarry,Adventure,8,8,Not available,8 Players in Co-Op,,,
The Settlers: New Allies,RTS game,4,Not available,Not available,,,,
The Settlers: New Allies,RTS,4,Not available,Not available,,,
The Survivalists,Action/Adventure game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
The Tomorrow Children: Phoenix Edition,Simulation game,10,Not available,Not available,10 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
The Wonderful 101: Remastered,Action Games,Not available,5,Not available,5 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
theHunter: Call Of The Wild,Simulation game,8,Not available,Not available,8 Players in Co-Op,,,
Them Bombs!,Simulation game,Not available,4,Not available,,,,
Tinker Racers,Racing game,Not available,4,Not available,,,,
Tiny Brains,Puzzle Platformer game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Tiny Tina’s Wonderlands,First Person Shooter,4,4,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Tiny Tina’s Wonderlands,FPS,4,2,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,FPS,4,2,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Tiny Troopers: Global Ops,Twin Stick Shooter game,4,4,Not available,,,,
Tiny Troopers: Global Ops,Twin Stick Shooter,4,4,Not available,,,
Titan Quest II,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Titan Quest: Anniversary Edition,Action RPG,6,2,Not available,6 Players in Co-Op,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Titanfall 2,FPS,4,Not available,Not available,,,,
ToeJam and Earl: Back In The Groove,Action/Adventure game,4,2,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
TOKYO GHOUL:re Call to Exist,Action Games,4,Not available,Not available,,,,
Tom Clancy's Ghost Recon Breakpoint,FPS,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Tom Clancy's Ghost Recon Wildlands,Third Person Shooter game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Tom Clancy's Rainbow Six: Siege,Tactical FPS game,5,Not available,Not available,5 Players in Co-Op,,,
Tom Clancy's Rainbow Six: Siege,Tactical FPS,5,Not available,Not available,5 Players in Co-Op,,
Tom Clancy's The Division 2,Third Person Shooter game,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Tom Clancy's The Division,RPG Game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Tools Up!,Action Games,Not available,4,Not available,,,,
Torchlight II,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Torchlight III,Action RPG,4,Not available,Not available,,,,
Totally Reliable Delivery Service,Action Games,4,4,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Toukiden 2,Action RPG,4,Not available,Not available,,,,
Toukiden 2: Free Alliances,Action RPG,4,Not available,Not available,,,,
Toukiden: Kiwami,Action Games,4,Not available,Not available,,,,
TowerFall Ascension,Action Games,Not available,4,Not available,,,,
Towers of Aghasba,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Toxic Crusaders,Beat-Em-Up,Not available,4,Not available,,,
Toxic Crusaders,Beat-Em-Up,Not available,4,Not available,,,,
Trailmakers,Sandbox game,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Trailmakers,Sandbox,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Transformers: Reactivate,Action,4,Not available,Not available,,,
Trash Sailors,Survival game,4,4,Not available,,,,
Tribes of Midgard,Action/Adventure game,10,Not available,Not available,10 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Tribes of Midgard,Action/Adventure,10,Not available,Not available,10 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Trine 4: The Nightmare Prince,Puzzle Platformer game,4,4,4,,,,
Trine 5: A Clockwork Conspiracy,Puzzle Platformer game,4,4,4,Supports Drop-In/Drop-Out Co-Op,,,
Trine 5: A Clockwork Conspiracy,Puzzle Platformer,4,4,4,Supports Drop-In/Drop-Out Co-Op,,
Tropico 5,Simulation game,4,Not available,Not available,,,,
Tropico 6 - Next Gen Edition,Simulation,4,Not available,Not available,,,
Tropico 6,Simulation game,4,Not available,Not available,,,,
Tunche,Beat-Em-Up,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Unit 4,Platformer game,Not available,4,Not available,,,,
Unrailed!,Action Games,4,4,4,,,,
Unruly Heroes,Action/Adventure game,Not available,4,Not available,,,,
Urban Flow,Puzzle Game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Urban Flow,Puzzle,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Vagante,Platformer game,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
VASARA Collection,Arcade,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Vendetta,Beat-Em-Up,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Verdun,FPS,4,Not available,Not available,,,,
Very Very Valet,Action,Not available,4,Not available,,,
Victor Vran,Action RPG,4,2,Not available,,,,
War Thunder,Action Games,4,Not available,Not available,,,,
Wardens Rising,Twin Stick Shooter,4,Not available,Not available,,,
Warface,FPS,5,Not available,Not available,5 Players in Co-Op,,,
Warframe,Third Person Shooter game,4,Not available,Not available,,,,
Warframe,Third Person Shooter,4,Not available,Not available,,,
Warhammer 40000: Inquisitor - Martyr Ultimate Edition,Action RPG,4,2,Not available,,,
Warhammer 40000: Inquisitor - Martyr,Action RPG,4,2,Not available,,,,
Warhammer 40000: Shootas Blood & Teef,Side Scroller game,4,4,Not available,,,,
Warhammer 40000: Shootas,Side Scroller,4,4,Not available,,,
Warhammer: Chaosbane Slayer Edition,Action RPG,4,4,4,Supports Drop-In/Drop-Out Co-Op,,
Warhammer: Chaosbane,Action RPG,4,4,4,Supports Drop-In/Drop-Out Co-Op,,,
Warhammer: End Times - Vermintide,FPS,4,Not available,Not available,,,,
Warhammer: Vermintide 2,FPS,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Watch Dogs: Legion,Action/Adventure game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Watch Dogs: Legion,Action/Adventure,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Watch_Dogs 2,Action/Adventure game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Way of the Hunter,Simulation,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Whiskey & Zombies: The Great Southern Zombie Escape,Twin Stick Shooter game,Not available,4,Not available,,,,
Whiskey & Zombies: The Great Southern Zombie Escape,Twin Stick Shooter,Not available,4,Not available,,,
Wild Guns: Reloaded,Arcade,Not available,4,Not available,,,,
Wildmender,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
WinKings,Action Games,Not available,4,Not available,,,,
Wolcen: Lords of Mayhem,Action RPG,4,Not available,Not available,,,,
Wondershot,Action Games,Not available,4,Not available,,,,
Woodle Tree 2: Deluxe,Action/Adventure game,Not available,4,Not available,,,,
World of Warriors,Action Games,Not available,4,Not available,,,,
World Soccer Strikers '91,Sports game,Not available,4,Not available,,,,
World War Z,Third Person Shooter game,4,Not available,Not available,,,,
World War Z: Aftermath,Third Person Shooter game,4,Not available,Not available,,,,
World War Z: Aftermath,Third Person Shooter,4,Not available,Not available,,,
Xenoraid,Shmup game,Not available,4,Not available,,,,
Yet Another Zombie Defense HD,Action Games,4,4,Not available,,,,
Zengeon,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Zero Team,Beat-Em-Up,Not available,4,Not available,,,,
Zombie Army 4: Dead War,Third Person Shooter game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Zombie Army 4: Dead War,Third Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Zombie Army Trilogy,Tactical FPS game,4,Not available,Not available,,,,
Zombie Vikings,Beat-Em-Up,4,4,4,,,,
Zombieland: Double Tap - Road Trip,Twin Stick Shooter game,Not available,4,Not available,,,,
