Arcade Paradise,Compilations,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Borderlands Collection: Pandora's Box,Compilations,4,4,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Compilations,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Just Dance 2021,Dancing,Not available,6,Not available,6 Players in Co-Op,,
Just Dance 2022,Dancing,Not available,6,Not available,6 Players in Co-Op,,
Just Dance 2023 Edition,Dancing,6,6,Not available,6 Players in Co-Op,,
Just Dance 2024 Edition,Dancing,6,6,Not available,6 Players in Co-Op,,
After the Fall,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Back 4 Blood,First Person Shooter,4,Not available,Not available,,,
Battlefield 2042,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Borderlands 3,First Person Shooter,4,4,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Call of Duty: Black Ops Cold War,First Person Shooter,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Call of Duty: Modern Warfare III,First Person Shooter,12,Not available,Not available,12 Players in Co-Op,,
Call of Duty: Vanguard,First Person Shooter,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Crime Boss: Rockay City,First Person Shooter,4,Not available,Not available,,,
Deep Rock Galactic,First Person Shooter,4,Not available,Not available,,,
Fallout 76,First Person Shooter,4,Not available,Not available,,,
Firewall Ultra,First Person Shooter,4,Not available,Not available,,,
Ghostbusters: Rise of the Ghost Lord,First Person Shooter,4,Not available,Not available,,,
Ghostbusters: Spirits Unleashed,First Person Shooter,4,Not available,Not available,,,
GRAVEN,First Person Shooter,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Gunfire Reborn,First Person Shooter,4,Not available,Not available,,,
John Carpenter’s Toxic Commando,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Killing Floor 3,First Person Shooter,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Overwatch 2,First Person Shooter,6,Not available,Not available,6 Players in Co-Op,,
PAYDAY 3,First Person Shooter,4,Not available,Not available,,,
Prodeus,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Projekt Z: Beyond Order,First Person Shooter,4,Not available,Not available,,,
Quake (Enhanced),First Person Shooter,4,4,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Quake II (Enhanced),First Person Shooter,8,4,Not available,8 Players in Co-Op,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op
SCATHE,First Person Shooter,4,Not available,Not available,,,
Serious Sam 4,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Serious Sam: Siberian Mayhem,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Sker Ritual,First Person Shooter,4,Not available,Not available,,,
Sniper Elite 5,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Tiny Tina’s Wonderlands,First Person Shooter,4,4,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
MechWarrior 5: Clans,Mech Simulation,5,Not available,Not available,5 Players in Co-Op,,
MechWarrior 5: Mercenaries,Mech Simulation,4,Not available,Not available,,,
Escape Game - FORT BOYARD 2022,Minigames,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
L.O.L. Surprise! B.B.s BORN TO TRAVEL,Minigames,Not available,4,Not available,,,
Final Fantasy 14 Online,MMO,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
The Elder Scrolls Online,MMO,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Baby Shark: Sing & Swim Party,Music/Rhythm,Not available,4,Not available,,,
Super Crazy Rhythm Castle,Music/Rhythm,4,4,Not available,,,
Aeon Drive,Platformer,Not available,4,Not available,,,
Curse of the Sea Rats,Platformer,Not available,4,Not available,,,
KarmaZoo,Platformer,10,Not available,Not available,10 Players in Co-Op,,
Kukoos: Lost Pets,Platformer,Not available,4,Not available,,,
Mecho Tales,Platformer,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Rain World,Platformer,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Rain World: Downpour,Platformer,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Sackboy: A Big Adventure,Platformer,4,4,4,Supports Drop-In/Drop-Out Co-Op,,
Sonic Superstars,Platformer,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Puyo Puyo Tetris 2,Puzzle,4,Not available,Not available,,,
Puzzle Quest 3,Puzzle,4,Not available,Not available,,,
Urban Flow,Puzzle,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Trine 5: A Clockwork Conspiracy,Puzzle Platformer,4,4,4,Supports Drop-In/Drop-Out Co-Op,,
The Crew: Motorfest,Racing,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Baldur's Gate III,RPG,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
SWORD ART ONLINE Last Recollection,RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Anno 1800: Console Edition,RTS,16,Not available,Not available,16 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
The Settlers: New Allies,RTS,4,Not available,Not available,,,
Farworld Pioneers,Sandbox,32,Not available,Not available,32 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Flock,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Goat Simulator 3,Sandbox,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
My Time at Sandrock,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Space Engineers,Sandbox,7,Not available,Not available,7 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Towers of Aghasba,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Trailmakers,Sandbox,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Wildmender,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Cook,Serve,Delicious!,Simulation,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op
Contra: Operation Galuga,Side Scroller,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
